ocid,initiationType,tag,id,date,tender/id,tender/externalReference,tender/title,tender/mainProcurementCategory,tender/procurementMethod,tender/contractType,tenderclassification/description,tender/submissionMethodDetails,tender/participationFee/0/multiCurrencyAllowed,tender/allowTwoStageTender,tender/value/amount,tender/datePublished,tender/milestones/title,tender/milestones/code,tender/milestones/type,tender/milestones/dueDate,tender/tenderPeriod/durationInDays,tender/allowPreferentialBidder,Payment Mode,tender/status,tender/stage,tender/numberOfTenderers,tender/milestones/type.1,tender/milestones/title.1,tender/milestones/dueDate.1,tender/bidOpening/date,tender/documents/id,buyer/name,fiscal_year
ocds-kjhdrl-2021_ICD_21643_1,tender,tender,1,29-09-2022,2021_ICD_21643_1,AGCL/HR-A/OFF-HIRING/2021/01,HIRING OF OFFICE ACCOMODATION ON LEASE BASIS,Services,Open Tender,Item Wise,Allotment of Space,NA,No,No,,05-07-2021 14:30,Price Bid Opening Date,PreBid Meeting Date,assessment,NA,60,No,Both(Online/Offline),NA,AOC,2,assessment,Price Bid Opening Date,NA,22-06-2021 14:30,NA,Industries and Commerce Department,2021-2022
ocds-kjhdrl-2021_NHM_22154_18,tender,tender,1,29-09-2022,2021_NHM_22154_18,NHM/C-CW/32050/15/2020-Cons/51,"Repairing Renovation of 210 Nos of Subcentres to upgrade them as Health and Wellness Centre, Pkg No. NHM/HWC/SC/Grp-18, 6 nos in Morigaon District",Works,Open Tender,Item Rate,Civil Works,NA,No,No,"35,29,623",07-12-2021 09:00,Price Bid Opening Date,PreBid Meeting Date,assessment,NA,180,No,Offline,NA,AOC,3,assessment,Price Bid Opening Date,NA,21-07-2021 16:00,NA,National Health Mission,2021-2022
ocds-kjhdrl-2022_BoTC_24377_1,tender,tender,1,29-09-2022,2022_BoTC_24377_1,DHS/BTC/15/2021-22 - 15/02,Procurement of Machineries and Equipment etc. for different Health Institutions and Offices of Kokrajhar district in BTR.,Goods,Open Tender,Supply,Medical Equipments/Waste,NA,No,No,"2,79,15,313",17-02-2022 09:00,Price Bid Opening Date,PreBid Meeting Date,assessment,NA,180,No,Offline,NA,Retender,NA,assessment,Price Bid Opening Date,NA,28-02-2022 15:30,NA,Bodoland Territorial Council,2021-2022
ocds-kjhdrl-2021_PWD_21733_1,tender,tender,1,29-09-2022,2021_PWD_21733_1,CE/Commn/03/21-22/9SDRF,Numberpara on Nowagaon-Rangapani,Works,Open Tender,Item Rate,Civil Works – Roads,NA,No,No,,22-05-2021 14:00,Price Bid Opening Date,PreBid Meeting Date,assessment,NA,180,No,Offline,NA,AOC,4,assessment,Price Bid Opening Date,NA,22-06-2021 14:10,NA,Public Works Roads Department,2021-2022
ocds-kjhdrl-2022_ASPIR_24076_1,tender,tender,1,29-09-2022,2022_ASPIR_24076_1,IN-AS-CFMS-225784-GO-RFB,"Supply, Installation and Maintenance of Desktop Computer, Laptop, Laser Printer, Line Matrix Printer, MI Server and 3 KVA Online UPS in Office of the Accountant General, Assam",Goods,Open Tender,Item Rate,Miscellaneous Goods,NA,No,No,,18-01-2022 18:50,Price Bid Opening Date,PreBid Meeting Date,assessment,NA,120,No,Online,NA,AOC,3,assessment,Price Bid Opening Date,NA,17-02-2022 17:00,NA,Finance Department - World Bank Tenders,2021-2022
ocds-kjhdrl-2021_BTC_22397_1,tender,tender,1,29-09-2022,2021_BTC_22397_1,ACE-38/TECH/KOK(R)/IFB/2016-17,TN No.13_06R,Works,Open Tender,Item Rate,Civil Works,NA,No,No,"99,99,993",08-09-2021 10:00,Price Bid Opening Date,PreBid Meeting Date,assessment,NA,180,No,Offline,NA,AOC,3,assessment,Price Bid Opening Date,NA,17-08-2021 14:00,NA,Bodoland Territorial Council-PWD,2021-2022
ocds-kjhdrl-2021_GSCT_22676_1,tender,tender,1,29-09-2022,2021_GSCT_22676_1,SPV/GSCL/DEV/185/2021/21,Selection of Consultancy Firm to prepare Detailed Project Report Request for Proposals and monitoring of implementation of the project for Illumination and Technology based Shows and Streetscape for beautification in Srimanta Sankardev Kalakshetra,Services,Open Tender,Item Rate,Consultancy,NA,No,No,,25-08-2021 17:00,Price Bid Opening Date,PreBid Meeting Date,assessment,NA,90,No,Online,NA,AOC,3,assessment,Price Bid Opening Date,NA,08-10-2021 15:00,NA,Guwahati Smart City Ltd.,2021-2022
ocds-kjhdrl-2021_NHM_22154_24,tender,tender,1,29-09-2022,2021_NHM_22154_24,NHM/C-CW/32050/15/2020-Cons/51,"Repairing Renovation of 210 Nos of Subcentres to upgrade them as Health and Wellness Centre, Pkg No. NHM/HWC/SC/Grp-24, 8 nos in Udalguri District",Works,Open Tender,Item Rate,Civil Works,NA,No,No,"49,16,318",14-07-2021 18:00,Price Bid Opening Date,PreBid Meeting Date,assessment,NA,180,No,Offline,NA,AOC,5,assessment,Price Bid Opening Date,NA,21-07-2021 16:00,NA,National Health Mission,2021-2022
ocds-kjhdrl-2022_GMC_26128_98,tender,tender,1,29-09-2022,2022_GMC_26128_98,GER/CE/2016/2022/4 DATED-15/06/2022,"Construction of Odaljyoti path, Jyotikuchi, Opp. Gyan Institute",Works,Open Tender,Lump-sum,Civil Works – Roads,NA,No,No,,07-02-2022 12:00,Price Bid Opening Date,PreBid Meeting Date,assessment,NA,90,No,Online,NA,To be Opened,NA,assessment,Price Bid Opening Date,NA,07-07-2022 14:00,NA,Guwahati Municipal Corporation,2021-2022
ocds-kjhdrl-2021_BTC_23703_1,tender,tender,1,29-09-2022,2021_BTC_23703_1,ACE-35/TECH/UDL(R B)/IFB/2018-19/221,Road Repairing from Borakhat shiv Mandir Chowk to Padum Pukhuri under SOPD (G) for the year 2021-22. (TN_67_1),Works,Open Tender,Works,Civil Works,NA,No,No,"96,94,000",15-12-2021 10:30,Price Bid Opening Date,PreBid Meeting Date,assessment,NA,180,No,Offline,NA,AOC,3,assessment,Price Bid Opening Date,NA,23-12-2021 14:00,NA,Bodoland Territorial Council-PWD,2021-2022
ocds-kjhdrl-2021_UDD_23226_1,tender,tender,1,29-09-2022,2021_UDD_23226_1,NLMB(A)/6/2020/(1) 25-10-2021,PKG 1 (a) and (b) - Construction of Drain and Footpath - 2 nos works under North Lakhimpur Municipal Board,Works,Open Tender,Works,Civil Works,NA,No,No,"44,87,839",26-10-2021 12:00,Price Bid Opening Date,PreBid Meeting Date,assessment,NA,90,No,Online,NA,To be Opened,NA,assessment,Price Bid Opening Date,NA,03-11-2021 11:00,NA,Urban Development Department,2021-2022
ocds-kjhdrl-2021_PWD_22176_1,tender,tender,1,29-09-2022,2021_PWD_22176_1,SOPD-G/2020-21/S and J/EE/17,Package No. SOPD-G/2020-21/S and J/EE/17,Works,Open Tender,Item Rate,Civil Works,NA,No,No,,15-07-2021 12:00,Price Bid Opening Date,PreBid Meeting Date,assessment,NA,180,No,Offline,NA,Financial Bid Opening,NA,assessment,Price Bid Opening Date,NA,20-07-2021 12:00,NA,Public Works Roads Department,2021-2022
